#,Train Set,Test Set,Accuracy,Wake Correct,NREM Correct,REM Correct,k,AD_motion,AD_HR,AD_cosine,AD_label
1,"['5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",3509524,0.8164251207729468,0.5490196078431373,0.43679779158040033,0.44347826086956527,0.3668960521550163,39.264589948749865,71.14409163787744,165.86114486495515,122.34639838786461
2,"['3509524', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5132496,0.07792207792207792,0.0,0.004640371229698376,0.0,0.0015726301478272697,34.21483131592374,19.181918181629978,122.01232515269933,98.22140658026515
3,"['3509524', '5132496', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1066528,0.6936274509803921,0.26219919943489517,0.700459180630926,0.7012104787714544,0.5063317789237548,8.241666495598821,83.98198417815152,5.018962156079289,310.04702809078526
4,"['3509524', '5132496', '1066528', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5498603,0.7088948787061995,0.3468702290076336,0.6549165120593692,0.6530612244897959,0.20400500625782225,16.91009176177864,15.369173430707617,12.226135785726013,247.06239803973244
5,"['3509524', '5132496', '1066528', '5498603', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",2638030,0.7877507919746568,0.324364350860729,0.7288532408411014,0.7226210966314239,0.5397410322440245,12.892072400919623,16.005993264744536,2.643643322304802,290.4142331893358
6,"['3509524', '5132496', '1066528', '5498603', '2638030', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",2598705,0.7023529411764706,0.23713733075435203,0.6412337662337662,0.6385321100917432,0.11920345355800033,5.89676513800031,353.20978402421986,-0.9461229067071839,129.5426243060673
7,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5383425,0.7081192189105858,0.41991017964071853,0.572972972972973,0.5680297397769517,0.39821336016341957,65.58269634536853,166.9735734835445,0.9798957904178904,164.25019643236524
8,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1455390,0.7565582371458552,0.3414567360350493,0.6186434782608696,0.6213333333333334,0.32703066311963924,40.663889089229436,151.40665903057499,2.0507979514186068,223.64771380489069
9,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",4018081,0.7656565656565657,0.34726027397260273,0.6359375,0.6457142857142857,0.18963546297472378,20.927361370269033,16.319057886587597,91.90309448764172,176.97757159660435
10,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",9961348,0.6619718309859155,0.46851851851851845,0.5876651982378855,0.590625,0.16903180501506865,49.57133060569514,89.74162502837282,10.659314562809605,167.32500722139014
11,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1449548,0.7126696832579186,0.4049999999999999,0.5989761092150171,0.5909090909090909,0.315689381933439,6.143888993828005,33.42016327903421,-0.43033240211233525,243.06469111374818
12,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",8258170,0.6604747162022704,0.40412186379928317,0.5995915119363395,0.5976923076923077,0.35927381914213696,17.496465887756504,13.636613584980728,1.3271342326080364,233.5456681339611
13,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",781756,0.7325819672131147,0.660685233036654,0.5187863967007232,0.5104905748741365,0.3504466163994787,350.05056710681674,95.62426252939544,0.8208149838321502,219.9534312044005
14,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",9106476,0.6256517205422315,0.5,0.470828025477707,0.4636363636363637,0.08555074503970883,29.83700563879938,96.44538287532662,1.8652808667068885,234.65319615490952
15,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",8686948,0.7410901467505241,0.24797047970479705,0.607764390896921,0.610062893081761,0.2578587828453187,29.541032461590117,22.005790929704304,2.174162671166394,178.99161652023963
16,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",8530312,0.6741826381059752,0.2497946611909651,0.6429078014184397,0.6445344129554657,0.3210140436194502,159.98937138672727,121.42505364662527,1.2173207670291926,201.7974277443655
17,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",3997827,0.7241379310344828,0.3094594594594592,0.615,0.6129692832764505,0.26947198584328713,12.520182918455566,91.58517652643492,1.9858578812366197,147.41365697205705
18,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",4314139,0.7510416666666667,0.34652725914861826,0.6064237240866412,0.6063724520087077,0.28475904572192756,0.14038991260267403,97.09870659782986,1.806560841265931,257.4359578659962
19,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1818471,0.02821316614420063,0.0,0.008241758241758242,0.0,0.004790370951834544,102.11073286900088,4.265763536757335,1.9858578812366197,139.60399198440854
20,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",4426783,0.6980552712384852,0.21642857142857144,0.7028006589785832,0.7013245033112583,0.4438956152621677,15.058985825661008,35.00103452509175,0.9771461219021119,197.76704454406953
21,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",8173033,0.8249475890985325,0.1972818311874106,0.7763888888888889,0.7805825242718446,0.5050483711624613,33.483184655753824,40.420878679898024,2.174162671166394,155.61094963223726
22,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",7749105,0.3162393162393162,0.0,0.0,0.0,0.0,4.477941073665627,15.561661354859723,230.43433418951656,94.50304775189426
23,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5797046,0.7406616862326574,0.42878535773710486,0.5584269662921348,0.5659863945578232,0.26749303495711596,5.833076623355246,54.017499638505875,3.2922727761808677,216.40900995123738
24,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",759667,0.7317073170731707,0.22193877551020408,0.6815884476534296,0.6848101265822785,0.47870734782774826,6.846065354736196,5.857379010523205,122.38533413835209,75.2658676286269
25,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",8000685,0.7165437302423604,0.247377938517179,0.6317220543806646,0.6298039215686274,0.2661239086625672,82.81759775501459,82.56174419710439,1.8069649632691391,155.82135215858352
26,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '844359', '9618981', '1360686', '46343', '8692923']",6220552,0.7387198321091291,0.407463419424531,0.5885848140318803,0.591304347826087,0.2056631942584758,86.79494158366667,24.06558091584759,2.238807781300939,183.39828968682096
27,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '9618981', '1360686', '46343', '8692923']",844359,0.6860335195530727,0.5494505494505495,0.46224551501713373,0.4595170976835397,0.18261918071787941,8.482721301057897,59.81890317283344,6.788129920977413,228.79240410345628
28,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '1360686', '46343', '8692923']",9618981,0.6475583864118896,0.43749999999999994,0.5835483870967741,0.5843478260869566,0.0834857223238149,39.491563541819254,55.79538594423968,3.0007445489995233,233.31099220697814
29,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '46343', '8692923']",1360686,0.6991341991341992,0.38310019982871796,0.6039609828373873,0.6012721893491124,0.18788235182532986,23.744484563384635,32.12294393793262,4.395111703220706,234.4361733442441
30,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '8692923']",46343,0.6684782608695652,0.3486515456845174,0.6051830985915493,0.599438596491228,0.2525361648599652,4.275524385062751,70.25606332234227,44.486886880231104,191.46704764129476
31,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343']",8692923,0.6691648822269807,0.6666666666666666,0.5163931638466117,0.5246295350025549,0.20574296989811924,72.16931687854368,19.725640188027512,3.602796213480884,262.8531864207862
